,Election,OfficeName,CandidateID,CanFirstName,CanLastName,Votes,PartyAbbrev,CandidateName
15,GE 2016,110TH REPRESENTATIVE,22544,"REGINALD ""REGGIE""",PHILLIPS,29398,REP,"REGINALD ""REGGIE"" PHILLIPS"
16,GE 2016,111TH REPRESENTATIVE,22545,DANIEL V.,BEISER,24808,DEM,DANIEL V. BEISER
17,GE 2016,112TH REPRESENTATIVE,22546,KATIE,STUART,27594,DEM,KATIE STUART
18,GE 2016,112TH REPRESENTATIVE,22547,DWIGHT,KAY,25875,REP,DWIGHT KAY
19,GE 2016,113TH REPRESENTATIVE,22548,JAY,HOFFMAN,26816,DEM,JAY HOFFMAN
20,GE 2016,113TH REPRESENTATIVE,22549,KATHERINE L.,RUOCCO,18536,REP,KATHERINE L. RUOCCO
21,GE 2016,114TH REPRESENTATIVE,22550,LaTOYA N.,GREENWOOD,26029,DEM,LaTOYA N. GREENWOOD
22,GE 2016,114TH REPRESENTATIVE,22551,BOB,ROMANIK,19492,REP,BOB ROMANIK
23,GE 2016,115TH REPRESENTATIVE,22552,MARSHA,GRIFFIN,21626,DEM,MARSHA GRIFFIN
24,GE 2016,115TH REPRESENTATIVE,22553,TERRI,BRYANT,26454,REP,TERRI BRYANT
25,GE 2016,116TH REPRESENTATIVE,22554,JERRY,COSTELLO II,40599,DEM,JERRY COSTELLO II
26,GE 2016,117TH REPRESENTATIVE,22555,JOHN,BRADLEY,24032,DEM,JOHN BRADLEY
27,GE 2016,117TH REPRESENTATIVE,22556,DAVE,SEVERIN,26946,REP,DAVE SEVERIN
28,GE 2016,118TH REPRESENTATIVE,22557,BRANDON W.,PHELPS,26836,DEM,BRANDON W. PHELPS
29,GE 2016,118TH REPRESENTATIVE,22558,JASON V.,KASIAR,19108,REP,JASON V. KASIAR
30,GE 2016,11TH CIRCUIT- ROBB VACANCY,22559,CASEY,COSTIGAN,109131,REP,CASEY COSTIGAN
31,GE 2016,11TH CIRCUIT- HUSCHEN VACANCY,22560,CHARLES M.,"FEENEY, III",16161,REP,"CHARLES M. FEENEY, III"
32,GE 2016,11TH CONGRESS,22561,BILL,FOSTER,166578,DEM,BILL FOSTER
33,GE 2016,11TH CONGRESS,22562,TONIA,KHOURI,108995,REP,TONIA KHOURI
34,GE 2016,11TH REPRESENTATIVE,22563,ANN M.,WILLIAMS,38028,DEM,ANN M. WILLIAMS
35,GE 2016,11TH REPRESENTATIVE,22564,GARY,MANDELL,15115,REP,GARY MANDELL
36,GE 2016,11TH SENATE,22565,MARTIN A.,SANDOVAL,49632,DEM,MARTIN A. SANDOVAL
37,GE 2016,12TH CONGRESS,22566,"CHARLES ""C.J.""",BARICEVIC,124246,DEM,"CHARLES ""C.J."" BARICEVIC"
38,GE 2016,12TH CONGRESS,22567,MICHAEL,BOST,169976,REP,MICHAEL BOST
39,GE 2016,12TH CONGRESS,22568,PAULA,BRADSHAW,18780,GRN,PAULA BRADSHAW
40,GE 2016,12TH REPRESENTATIVE,22569,SARA,FEIGENHOLTZ,43858,DEM,SARA FEIGENHOLTZ
41,GE 2016,12TH REPRESENTATIVE,22570,GENE,WITT,14161,REP,GENE WITT
42,GE 2016,COOK CIRCUIT- KARNEZIS VACANCY,22571,MARY KATHLEEN,McHUGH,1441385,DEM,MARY KATHLEEN McHUGH
43,GE 2016,18TH CIRCUIT- EQUI VACANCY,22572,PAUL MICHAEL,FULLERTON,313279,REP,PAUL MICHAEL FULLERTON
